Mode,Location,Latitude,Longitude,Count
Jeepney,"Katarungan Vill (Munti)",14.666593,120.995984,1
Jeepney,"Binangonan",14.4765477,121.195743,20
UV Express,"Obando",14.726273,120.925328,1
UV Express,"Pasig Market",14.5645552,121.085165,1
UV Express,"Real (Calamba Crosng)",14.2033838,121.1560593,1
Jeepney,"Brgy Bagong Silangan",14.7035887,121.1096683,1
Bus,"Tramo",14.532684,121.003838,1
Jeepney,"SM Ayala (Greenbelt)",14.372892,121.045203,1
Jeepney,"Marikina (TP)",14.5873983,121.1408911,1
Jeepney,"Ayala (Landmark)",14.549471,121.02688,1
Jeepney,"Montalban",14.759817,121.201947,7
UV Express,"San Pedro (Lag)",14.3488961,121.0392436,2
Jeepney,"Grotto (SJDM)",14.7901474,121.0745957,1
Bus,"Marilao (Bulacan)",14.7728024,120.9704234,1
UV Express,"Taal (Bats)",13.889312,120.935999,1
Bus,"SM Southmall",14.4328359,121.0102148,1
Jeepney,"Cartimar",14.5504925,120.9964041,1
Jeepney,"Litex",14.69906,121.08709,1
Jeepney,"Buso-Buso",13.756465,121.058308,1
Jeepney,"Taytay",14.5585549,121.1360819,6
UV Express,"Calumpit (Bulacan)",14.9011437,120.769476,1
UV Express,"Apalit (Pamp)",14.9601027,120.792458,1
Bus,"Navotas Terminal",14.651256,120.9475643,1
UV Express,"Tanza (Cav)",14.3519672,120.8384093,1
UV Express,"Camella Springville",14.347449,121.045385,1
Jeepney,"Soldiers Hills 2",14.3987465,121.0451498,3
UV Express,"Balibago",14.2935521,121.1067332,2
Jeepney,"Malabon",14.6829146,120.9474747,2
Bus,"PalaPala Dasma Cavite",14.2986158,120.9564712,1
Jeepney,"Cainta",14.5864844,121.114876,5
Jeepney,"Malanday",14.647586,121.0943958,2
UV Express,"Tanay Morong Bgonan Fwy",14.491497,121.282073,1
Jeepney,"San Rafael",14.998451,120.953212,1
Jeepney,"Libertad",14.547342,120.997522,1
Jeepney,"Robinson's Galleria",14.592046,121.059396,1
Jeepney,"Baliwag",14.578275,121.0347867,1
UV Express,"Springville Molino Bac",14.388585,120.983064,1
Bus,"NAIA",14.512274,121.016508,2
Jeepney,"Calawis (Antipolo)",14.7052322,121.2511908,1
Jeepney,"Novaliches",14.7214015,121.0521411,3
UV Express,"Bahayang Pagasa (Imus)",14.377705,120.970232,1
Jeepney,"Brgy San Rafael (Rodriguez)",14.6499467,120.9735428,2
Jeepney,"Commonwealth Market",14.6955346,121.0873809,2
Jeepney,"Sapang Palay",14.8420945,121.0621749,8
Bus,"Moonwalk",14.492372,121.008497,1
Jeepney,"Balagtas",14.8227794,120.9130435,2
UV Express,"Calamba (Laguna)",14.1876712,121.1250825,1
Bus,"San Jose Del Monte",14.8205675,121.1022942,1
Bus,"Lagro",14.726327,121.066205,1
Jeepney,"Bagbaguin",14.8131505,120.9517779,1
UV Express,"Morong",14.5181416,121.2389794,2
Jeepney,"Francisco Homes (SJDM)",14.806866,121.068535,1
Jeepney,"Binakayan (Kawit)",14.4505346,120.9277423,1
Jeepney,"E Rodriguez (Marikina)",14.6591699,121.1108984,1
Jeepney,"Pabahay 2000 (SJDM)",14.7926395,121.0362425,2
Jeepney,"Queens Row Vill",14.439886,121.029599,1
Bus,"Pasig City",14.5763768,121.0851097,1
UV Express,"Dela Salle Dasmariñas",14.326959,120.957298,1
Jeepney,"Baliuag (Bulacan)",14.9672031,120.8843434,1
Jeepney,"Camella (Gawaran)",14.4390432,120.9973175,1
Bus,"Cainta (Rizal)",14.5864844,121.114876,1
Jeepney,"Dasmariñas Resettlement Area",14.315553,120.971678,4
UV Express,"SM Bacoor",14.4459648,120.9507477,1
Bus,"San Mateo",14.677484,121.159584,1
Bus,"Pacita Complex (SPL)",14.350904,121.052143,2
Jeepney,"Karuhatan",14.6898877,120.9739935,1
Jeepney,"Antipolo",14.6254827,121.1244847,19
Jeepney,"Marcos Ave (Commonwealth)",14.6945722,121.0910039,1
Jeepney,"Ayala",14.5490214,121.028215,1
Jeepney,"Kawit (Cavite)",14.441139,120.9015642,1
UV Express,"Rodriguez (Montalban)",14.7322672,121.1449958,1
Jeepney,"Bagumbayan (Taguig)",14.4770279,121.0550093,2
UV Express,"Brgy. Mamatid (Cabuyao, Laguna)",14.2320334,121.1458007,1
Jeepney,"Silang",14.2183093,120.9728536,1
Jeepney,"Tagaytay City",14.115286,120.9621165,1
Jeepney,"Quezon City Hall",14.6463433,121.050038,1
UV Express,"Camella Homes",14.4390432,120.9973175,3
Jeepney,"Cubao",14.6177663,121.0571541,15
Jeepney,"Marcos Ave",14.666690,121.071114,2
UV Express,"Carmona (Cav.)",14.297280,121.039244,1
Jeepney,"Tagaytay",14.115286,120.9621165,1
Jeepney,"Baclaran",14.5294163,120.9971024,26
Jeepney,"San Juan (Pinaglaban)",14.6046496,121.0292278,1
Jeepney,"Polo",14.709238,120.947279,1
Jeepney,"Mambugan",14.617585,121.1379063,2
Jeepney,"Mali San Mateo Rizal",14.7084169,121.1313902,1
Bus,"FTI",14.506432,121.035571,3
Jeepney,"Philcoa",14.6539426,121.0529551,2
UV Express,"Malhacan",14.7406235,120.9689892,2
Jeepney,"Heritage Homes",14.775123,121.013799,2
UV Express,"Marilao",14.7728024,120.9704234,3
Jeepney,"Alabang",14.4170343,121.0476194,37
Bus,"Grotto",14.790147,121.074596,3
UV Express,"Queen's Row",14.439886,121.029599,2
Jeepney,"Ocean Park",14.578788,120.974547,1
Jeepney,"Antipolo (Town Proper)",14.7604805,121.1846146,1
Jeepney,"Brgy Pntong Bukawe (San Mateo)",14.6808786,121.1344843,1
Jeepney,"Malolos",14.8527393,120.8160376,6
Jeepney,"EDSA/Shaw Central",14.580094,121.05274,15
Jeepney,"Molino",14.452596,120.960791,5
Jeepney,"GMA-Pal-BacCvt(MolCstlRd)BacMallofAsiaVV",14.3066935,121.01373,1
UV Express,"Turo (Bocaue)",14.8059883,120.9388678,2
UV Express,"Rodriguez (SbUrbn)",14.759817,121.201947,1
UV Express,"Naic",14.2964865,120.792458,1
UV Express,"LRT Santolan Station",14.6220443,121.0860421,1
Bus,"Ayala Ave",14.556588,121.021783,3
Jeepney,"Evergreen Subdivision",14.783019,121.045693,1
Jeepney,"Rodriguez (Marikina)",14.6591699,121.1108984,1
Jeepney,"Paliparan",14.1154415,121.2826641,5
Bus,"Pandacan (Beata)",14.5911196,121.0080975,1
Jeepney,"Tanza",14.3519672,120.8384093,2
Jeepney,"Pacita Complex",14.3509036,121.052143,11
UV Express,"Dasmariñas (Cav)",14.299018,120.95897,1
Jeepney,"Brgy Mali San Mateo (Rizal)",14.7084169,121.1313902,1
UV Express,"Mamatid (Cabuyao, Lag)",14.2384299,121.1524244,1
Jeepney,"Bulacan",14.7942735,120.8799008,1
Jeepney,"Pasig",14.5763768,121.0851097,4
Bus,"Malanday Term",14.719030,120.95755,1
Jeepney,"Blumentritt",14.622628,120.982904,1
Jeepney,"Eastern Rizal",14.1358747,120.9024384,1
Bus,"Dasmariñas",14.299018,120.95897,1
Jeepney,"Plaridel",14.8814829,120.8671201,2
Jeepney,"Camella Homes Springville (Cavite)",14.4791297,120.8969634,4
Jeepney,"San Rafael (Rizal)",14.5697042,121.019418,1
Jeepney,"Pabahay ni Erap (Sub-urban)",14.6816306,121.0352775,1
Bus,"Alabang (Muntinlupa)",14.4183645,121.0384987,2
Jeepney,"Malinta",14.690787,120.963118,11
Bus,"Norzagaray/Sapang Palay",14.8420945,121.0621749,2
Jeepney,"Francisco Homes",14.6760958,121.0714047,7
Jeepney,"Bigte (Norgray Bul)",14.847470,121.074445,1
Jeepney,"Monumento",14.654191,120.983778,13
UV Express,"Norzagaray (Proper)",14.874472,121.144614,1
Jeepney,"Angono (Rizal)",14.5457372,121.1767658,1
UV Express,"Divisoria Mall (GMA, Cav)",14.479130,120.896963,1
Jeepney,"Rodriguez (Rizal)",14.759817,121.2019468,1
Bus,"GMA",14.3066935,121.01373,1
UV Express,"Target Mall (Balibago)",14.293552,121.106733,1
UV Express,"Sto Niño (Meyc)",14.743724,121.055169,4
Jeepney,"Talon",14.443191,121.003405,2
Jeepney,"Golden City Subd",14.2885935,121.1125667,1
UV Express,"Tabang",14.833680,120.865685,2
Jeepney,"Angono",14.5457372,121.1767658,11
Jeepney,"Cogeo",14.6234864,121.1733293,5
Jeepney,"Rodriguez",14.759817,121.2019468,4
Jeepney,"Gumaok (SJDM)",14.7991926,121.0613912,1
Jeepney,"Licao",14.794273,120.879901,1
UV Express,"Sta Lucia (Cainta)",14.583952,121.101246,1
Bus,"Bagong Silang",14.7771421,121.0430543,3
Jeepney,"Imus",14.4064221,120.9405057,4
UV Express,"Masinag",14.44402,120.9364883,2
Jeepney,"Meycauayan",14.7498856,120.9739288,6
Jeepney,"SM Molino",14.444626,120.9508508,1
Bus,"Eastwood Libis",14.6089208,121.0798372,1
Jeepney,"Kasiglahan",14.7460778,121.1381933,1
UV Express,"Deparo",14.7471238,121.0210353,1
UV Express,"Golden City (Dasma)",14.2736902,120.9876406,1
Bus,"Sta Maria",14.8463073,120.9991032,5
UV Express,"Biñan (Laguna)",14.303634,121.078149,1
UV Express,"Robinson's Cainta",14.5807782,121.1890164,1
UV Express,"Bahay Pag-asa",14.6887485,120.9757489,1
Jeepney,"Malabon (TP)",14.6829146,120.9474747,1
Jeepney,"Antipolo (Cogeo)",14.6254827,121.1244847,4
UV Express,"Dau (Mabalacat, Pampanga)",15.1779637,120.5872019,1
UV Express,"Pacita",14.6559952,120.9968087,3
Jeepney,"Hdela CostaII",14.6445528,121.0817812,1
Jeepney,"T Martirez",14.286648,120.861379,1
Jeepney,"Trece Martirez",14.2866478,120.8613785,2
UV Express,"Tanay",14.5797053,121.3312882,2
UV Express,"St.Michael (Mey, Bul)",14.762614,120.995873,1
Jeepney,"Divisoria",14.6028625,120.9700594,1
UV Express,"Sta Rosa",14.2843023,121.0888928,2
Jeepney,"Pabahay ni Erap (Rodriguez Rizal)",14.6816306,121.0352775,1
Jeepney,"Samp (Tanay)",14.579705,121.331288,1
UV Express,"Heritage (Bulacan)",14.824989,120.871277,1
Bus,"Taguig",14.5176184,121.0508645,2
Bus,"Fairview",14.702179,121.06821,1
Jeepney,"Rodriguez (Relocn)",14.759817,121.2019468,1
Jeepney,"Cainta Junction",14.5864844,121.114876,4
UV Express,"Famy (Lag)",14.473008,121.484245,1
Jeepney,"Kaybiga",14.7194904,121.0128161,1
Jeepney,"Padilla/Cogeo",14.6234864,121.1733293,1
Jeepney,"Bintog",14.9007772,120.8857785,1
Bus,"Novaliches (Term)",14.727640,121.04159,1
UV Express,"Marilao Terminal",14.8028026,121.0351914,1
Bus,"Asturias",14.612396,120.987115,1
Jeepney,"BBB",14.673670,120.981778,1
UV Express,"Robinson's (Imus)",14.4126828,120.9408423,1
Jeepney,"Rosario Jct",14.588464,121.089098,2
UV Express,"Norzagaray",14.8744717,121.1446143,7
UV Express,"Greenland Executive Village (Cainta)",14.671901,121.123065,1
UV Express,"Turo (Bocue)",14.8059883,120.9388678,1
UV Express,"San Mateo (Rizal)",14.6774841,121.1595842,1
Jeepney,"Norzagaray (Pob)",14.8744717,121.1446143,1
Jeepney,"Litex Mkt",14.7002014,121.0875197,1
UV Express,"Cardona",14.361905,121.23402,2
Jeepney,"Marikina",14.65073,121.1028546,7
Jeepney,"Bagong NayonII",14.6232601,121.1241373,2
Jeepney,"Calumpang",14.624922,121.086535,1
UV Express,"SM Marilao (Bul)",14.7538137,120.9564395,2
Jeepney,"Jordan Plaines",14.722551,121.049635,1
Jeepney,"Molino (SM) Bacoor Cavite",14.444626,120.9508508,1
