Mode,Location,Latitude,Longitude
Bus,"Alabang",14.4170343,121.0476194
Bus,"Alabang",14.4170343,121.0476194
Bus,"Alabang",14.4170343,121.0476194
Bus,"Alabang",14.4170343,121.0476194
Bus,"Alabang",14.4170343,121.0476194
Bus,"Alabang",14.4170343,121.0476194
Bus,"Alabang",14.4170343,121.0476194
Bus,"Alabang (Muntinlupa)",14.4183645,121.0384987
Bus,"Alabang",14.4170343,121.0476194
Bus,"Alabang (Muntinlupa)",14.4183645,121.0384987
Bus,"Alabang",14.4170343,121.0476194
Bus,"Alabang",14.4170343,121.0476194
Bus,"Alabang",14.4170343,121.0476194
Bus,"Alabang",14.4170343,121.0476194
Bus,"Angono",14.5457372,121.1767658
Bus,"Antipolo",14.6254827,121.1244847
Bus,"Asturias",14.612396,120.987115
Bus,"Ayala Ave",14.556588,121.021783
Bus,"Ayala Ave",14.556588,121.021783
Bus,"Ayala Ave",14.556588,121.021783
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Baclaran",14.5294163,120.9971024
Bus,"Bagong Silang",14.7771421,121.0430543
Bus,"Bagong Silang",14.7771421,121.0430543
Bus,"Bagong Silang",14.7771421,121.0430543
Bus,"Cainta (Rizal)",14.5864844,121.114876
Bus,"Cainta",14.5864844,121.114876
Bus,"Cainta",14.5864844,121.114876
Bus,"Dasmariñas",14.299018,120.95897
Bus,"Eastwood Libis",14.6089208,121.0798372
